excluded_source,encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
breastmnist,vit_b16,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,clip_b32,beans,10,rendered_sst2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,flowers102,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,clip_b32,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,dinov2_b14,beans,10,handwritten_digits,0.0,0.0,0.0016118664767648117,0.001096066150413244,0.0,-0.3333333333333333,0.0005158003263515676,0.05673801846175994,0.0,0.8181818181818182,0.0,0.0,0.0
cifar10,dinov2_b14,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,dinov2_b14,eurosat,10,pathmnist,0.0,0.0,6.667249838521183e-05,6.667249838521183e-05,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar10,dinov2_b14,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,dinov2_b14,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,dinov2_b14,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,dinov2_b14,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,resnet50,beans,10,rendered_sst2,0.0,0.0,0.015925201671804556,0.015925201671804556,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar10,resnet50,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,resnet50,eurosat,10,dermamnist,0.0,0.0,0.0006400102877616165,0.0006400102877616165,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar10,resnet50,flowers102,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,resnet50,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,resnet50,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,resnet50,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar10,vit_b16,beans,10,stl10,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,dtd,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,food101,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar10,vit_b16,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,clip_b32,beans,10,cifar10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,flowers102,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,clip_b32,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,dinov2_b14,beans,10,handwritten_digits,0.0,0.0,0.0014829168620992261,0.001096066150413244,0.0,-0.3333333333333333,0.00038685071168598206,0.04255356520775788,-0.009375000000000022,0.8181818181818182,0.0,0.0,0.0
cifar100,dinov2_b14,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,dinov2_b14,eurosat,10,pathmnist,0.0,0.0,0.00046667213519446804,0.00046667213519446804,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100,dinov2_b14,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,dinov2_b14,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,dinov2_b14,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,dinov2_b14,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,resnet50,beans,10,rendered_sst2,0.0,0.0,0.015925201671804556,0.015925201671804556,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100,resnet50,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,resnet50,eurosat,10,dermamnist,0.0,0.0,0.0006400102877616165,0.0006400102877616165,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100,resnet50,flowers102,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,resnet50,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,resnet50,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,resnet50,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100,vit_b16,beans,10,stl10,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100,vit_b16,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,clip_b32,beans,10,cifar10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,flowers102,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,clip_b32,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,dinov2_b14,beans,10,handwritten_digits,0.0,0.0,0.0014829168620992261,0.001096066150413244,0.0,-0.3333333333333333,0.00038685071168598206,0.04255356520775788,-0.009375000000000022,0.8181818181818182,0.0,0.0,0.0
cifar100_coarse,dinov2_b14,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,dinov2_b14,eurosat,10,pathmnist,0.0,0.0,6.667249838521183e-05,6.667249838521183e-05,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100_coarse,dinov2_b14,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,dinov2_b14,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,dinov2_b14,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,dinov2_b14,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,resnet50,beans,10,rendered_sst2,0.0,0.0,0.015925201671804556,0.015925201671804556,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100_coarse,resnet50,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,resnet50,eurosat,10,dermamnist,0.0,0.0,0.0006400102877616165,0.0006400102877616165,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
cifar100_coarse,resnet50,flowers102,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,resnet50,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,resnet50,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,resnet50,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
cifar100_coarse,vit_b16,beans,10,stl10,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,dtd,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,food101,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
cifar100_coarse,vit_b16,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
dermamnist,clip_b32,beans,10,cifar10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,flowers102,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,clip_b32,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,dinov2_b14,beans,10,handwritten_digits,0.0,0.0,0.0014829168620992261,0.001096066150413244,0.0,-0.3333333333333333,0.00038685071168598206,0.04255356520775788,-0.009375000000000022,0.8181818181818182,0.0,0.0,0.0
dermamnist,dinov2_b14,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,dinov2_b14,eurosat,10,pathmnist,0.0,0.0,6.667249838521183e-05,6.667249838521183e-05,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
dermamnist,dinov2_b14,flowers102,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,dinov2_b14,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,dinov2_b14,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
dermamnist,dinov2_b14,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0
